id;age_range;domain;title;supports_milestone_ids;duration;materials;setup;steps;what_to_watch;why_it_works;evidence_bucket;evidence_label;source_ids;claim_limit;stop_rules;low_energy_option;adaptations;notes
act_002_social_001;0-3 міс;Соціальний;Тихий голос і пауза на руках;ms_002_social_001;1-3 хв;без матеріалів;Тримайте дитину зручно, підтримуючи голову й шию.;Тримайте дитину зручно, підтримуючи голову й шию. Говоріть тихо і робіть паузу. Спостерігайте за обличчям і тілом дитини. Підлаштовуйте голос або те, як тримаєте, під реакцію дитини.;Дитина заспокоюється, дивиться, розслабляє тіло або змінює ритм дихання.;Тепла чутлива турбота підтримує відчуття безпеки і саморегуляцію в ранніх рутинах.;silver;На основі механізму;who_nurturing_care|harvard_serve_return_guide;Підтримує саморегуляцію і чутливість дорослого, не лікує дистрес.;Зупиніться, якщо дитині некомфортно, вона голодна, їй жарко, холодно або важко заспокоїтися.;Скажіть одну лагідну фразу перед годуванням чи сном.;Використовуйте природну мову дорослого.;Потребує педіатричного рев'ю формулювань.
act_002_social_002;0-3 міс;Соціальний;Пауза обличчям до обличчя;ms_002_social_002|ms_002_social_003;1-2 хв;без матеріалів;Розташуйте дитину досить близько, щоб бачити ваше обличчя, у спокійний неспаний момент.;Розташуйте дитину так, щоб вона бачила ваше обличчя, у спокійний момент. Дивіться на дитину і м'яко усміхайтесь. Зробіть паузу і зачекайте. Відповідайте на будь-який погляд чи рух.;Дитина дивиться на обличчя, кліпає, рухається або ненадовго усміхається.;Взаємодія, зосереджена на обличчі, підтримує ранню соціальну увагу і чутливість дорослого.;silver;На основі механізму;harvard_serve_return_guide|who_nurturing_care;Підтримує соціальну увагу, не вимірює якість прив'язаності.;Зупиніться, якщо дитина відвертається, вередує або перевтомлюється.;Зробіть одну усмішку й одну паузу.;Можна робити під час сповивання.;Для сценарію втомленого батька.
act_002_language_001;0-3 міс;Мовлення;Повторюйте звуки дитини;ms_002_language_001;1-3 хв;без матеріалів;Тримайте дитину так, щоб вона вас чула і бачила.;Тримайте дитину так, щоб вона вас чула і бачила. Дочекайтесь звуку. Тихо повторіть його і зробіть паузу. Відповідайте знову, коли дитина озветься.;Дитина видає звуки, робить паузи, дивиться або рухається.;Гра 'звук - відповідь' підтримує раннє чергування в комунікації.;silver;На основі механізму;harvard_serve_return_guide|cdc_ltsae_2_months;Підтримує передумови комунікації, саме по собі не навчає мовлення.;Зупиніться, якщо дитина плаче, кашляє, відвертається або втомлена.;Повторіть один звук один раз.;Підходить для будь-якого безпечного положення догляду.;Гарна активність для безкоштовного пакета.
act_002_language_002;0-3 міс;Мовлення;Помічаємо звуки;ms_002_language_002;1 хв;тихий побутовий звук;Використайте тихий звичайний звук поруч, не гучний і не лякаючий навмисне.;Використайте тихий звичайний побутовий звук поруч. Скажіть, що це за звук. Спостерігайте за реакцією дитини. Поміть один природний звук протягом дня.;Дитина здригається, завмирає, кліпає, змінює рухи або (пізніше в розвитку) повертається.;Називання щоденних звуків підтримує слухову увагу і спостереження дорослого.;silver;На основі механізму;cdc_ltsae_2_months|who_nurturing_care;Підтримує спостереження, не перевіряє слух.;Не створюйте гучних звуків біля дитини. Якщо реакції немає, обговоріть це з фахівцем.;Поміть один природний звук протягом дня.;Не робіть, якщо дитина спить.;Потребує рев'ю безпеки щодо слуху.
act_002_cognitive_001;0-3 міс;Мислення;Повільне стеження за обличчям;ms_002_cognitive_001;1-2 хв;без матеріалів;Тримайте дитину спокійною й неспаною на спині або на руках.;Тримайте дитину спокійною й неспанною на спині або на руках. Повільно рухайте обличчям від центру вбік. Поверніться до центру. Усміхніться і зробіть паузу.;Дитина ненадовго стежить або частково проводжає рух.;Повільні зорові соціальні рутини підтримують увагу і спостереження дорослого.;silver;На основі механізму;cdc_ltsae_2_months|harvard_serve_return_guide;Підтримує спостереження, не оцінює зір.;Зупиніться, якщо дитина вередує або раз за разом відводить погляд.;Поверніть обличчя один раз і усміхніться.;Використайте контрастну іграшку, якщо обличчя не зацікавлює.;Тримайте коротко.
act_002_movement_002;0-3 міс;Рух;М'яке розкриття долоньки;ms_002_movement_003;1-2 хв;без матеріалів або м'яка тканина;NEEDS_REVIEW;Дочекайтесь спокійного моменту, коли дитина не спить. М'яко проведіть по тильній стороні кисті від зап'ястя до пальців. Зробіть паузу й подивіться, як розкриваються пальці. Запропонуйте свій палець або м'яку тканину потримати.;NEEDS_REVIEW;М'який дотик уздовж долоні підтримує розкриття кисті й готовність до захвату.;silver;На основі механізму;CDC + WHO;NEEDS_REVIEW;Ніколи не розкривайте долоню силою. Зупиніться, якщо дитина опирається або вередує.;NEEDS_REVIEW;NEEDS_REVIEW;
act_002_cognitive_002;0-3 міс;Мислення;Пауза з контрастною іграшкою;ms_002_cognitive_002;1-2 хв;контрастна іграшка або картка;NEEDS_REVIEW;Тримайте дитину спокійною й не сонною. Покажіть просту контрастну іграшку на відстані 20-30 см. Тримайте нерухомо й дайте подивитися. Повільно посуньте, коли дитина зафіксувала погляд.;NEEDS_REVIEW;Коротке зорове зосередження на простому контрастному предметі підтримує ранню увагу.;silver;На основі механізму;CDC + WHO;NEEDS_REVIEW;Зупиніться, якщо дитина відвертається, вередує або втомлена.;NEEDS_REVIEW;NEEDS_REVIEW;
act_002_movement_001;0-3 міс;Рух;Міні-хвилинка на животику;ms_002_movement_001|ms_002_movement_002;30 с - 2 хв;ковдра;Покладіть дитину на животик, коли вона не спить і під наглядом, на тверду безпечну поверхню.;Покладіть дитину на животик, коли вона не спить і під наглядом, на тверду безпечну поверхню. Опустіться нижче і тихо говоріть. Покажіть обличчя або іграшку. Зупиніться, перш ніж дитина засмутиться.;Дитина ненадовго піднімає голову, повертає її, рухає руками чи ногами.;Коротка гра на животику під наглядом підтримує ранній контроль голови й тулуба.;silver;На основі механізму;cdc_ltsae_2_months|who_motor_milestones;Підтримує моторну практику, не форсує моторний розвиток.;Лише коли дитина не спить і під наглядом. Зупиніться, якщо вона засмучена чи сонна. Ніколи не використовуйте для сну.;Одна коротка хвилинка на животику після сповивання.;Використайте викладання груди-до-грудей, якщо підлога тверда.;Потребує рев'ю фахівця з руху.
act_004_social_001;3-5 міс;Соціальний;Гра 'повтори усмішку';ms_004_social_001|ms_004_social_003;2-3 хв;без матеріалів;Сядьте з дитиною обличчям до вас у спокійний неспаний час.;Сядьте навпроти дитини у спокійний момент. Усміхніться і зачекайте. Повторіть вираз або рух дитини. Зробіть паузу для відповіді.;Дитина усміхається, рухається, видає звуки або дивиться, щоб продовжити.;Чутливе наслідування підтримує соціальну увагу і чергування.;silver;На основі механізму;harvard_serve_return_guide|cdc_ltsae_4_months;Підтримує взаємодію, не оцінює прив'язаність.;Зупиніться, якщо дитина відвертається, вигинається, плаче або перевтомлюється.;Одна усмішка й пауза.;Можна робити з іншим дорослим.;Корисно для соціального блоку.
act_004_social_002;3-5 міс;Соціальний;Пауза зі смішною мімікою;ms_004_social_002;2-3 хв;без матеріалів;NEEDS_REVIEW;Будьте обличчям до дитини в радісний бадьорий момент. Зробіть м'який грайливий звук або кумедне обличчя. Зробіть паузу й чекайте. Тепло відгукніться на будь-яку усмішку, сміх чи рух.;NEEDS_REVIEW;Грайливі м'які несподіванки в теплій взаємодії можуть викликати ранній сміх і соціальне залучення.;silver;На основі механізму;Harvard + CDC;NEEDS_REVIEW;Зупиніться, якщо дитина відвертається, вигинається або перезбуджена.;NEEDS_REVIEW;NEEDS_REVIEW;
