id;age_months;age_window;domain;parent_title;parent_friendly_description;source_ids;related_activity_idea;evidence_level;discuss_if
ms_002_social_001;2;0-3 months;social_emotional;Settles with caregiver support;Baby may calm when spoken to, held, or picked up.;cdc_ltsae_2_months|aap_zubler_2022;Soft voice + hold pause;gold;If baby rarely settles with familiar caregiving and you are concerned, discuss with a healthcare provider.
ms_002_social_002;2;0-3 months;social_emotional;Looks toward faces;Baby watches a caregiver's face during close routines.;cdc_ltsae_2_months|aap_zubler_2022;Face-to-face pause;gold;If baby does not look at faces or avoids all eye contact and you are concerned, discuss it.
ms_002_social_003;2;0-3 months;social_emotional;Responds with early smiles;Baby may smile during warm face-to-face interaction.;cdc_ltsae_2_months|aap_zubler_2022;Smile and wait;gold;If no social response is emerging and you are concerned, discuss it.
ms_002_language_001;2;0-3 months;language_communication;Makes non-crying sounds;Baby makes small sounds beyond crying.;cdc_ltsae_2_months|aap_zubler_2022;Copy baby's coos;gold;If baby is very quiet and you are concerned, discuss it.
ms_002_language_002;2;0-3 months;language_communication;Responds to loud sound;Baby startles, quiets, or changes movement after a loud sound.;cdc_ltsae_2_months|aap_zubler_2022;Sound noticing routine;gold;If baby does not react to loud sounds, ask about hearing/developmental screening.
ms_002_cognitive_001;2;0-3 months;cognitive;Tracks caregiver movement;Baby watches as a caregiver moves nearby.;cdc_ltsae_2_months|aap_zubler_2022;Slow face tracking;gold;If baby rarely watches movement and you are concerned, discuss it.
ms_002_cognitive_002;2;0-3 months;cognitive;Looks briefly at a toy;Baby focuses on a toy for a short moment.;cdc_ltsae_2_months|aap_zubler_2022;High-contrast toy pause;gold;If baby rarely visually attends and you are concerned, discuss it.
ms_002_movement_001;2;0-3 months;movement_physical;Lifts head during awake tummy time;Baby raises head briefly while awake on tummy.;cdc_ltsae_2_months|who_motor_milestones;Mini tummy moment;gold;If baby cannot lift head at all during awake tummy time and you are concerned, discuss it.
ms_002_movement_002;2;0-3 months;movement_physical;Moves arms and legs on both sides;Baby moves both arms and both legs during awake time.;cdc_ltsae_2_months|who_motor_milestones;Kick-and-reach mat time;gold;If one side seems much weaker or less active, discuss it.
ms_002_movement_003;2;0-3 months;movement_physical;Briefly opens hands;Baby's hands sometimes open rather than staying tightly fisted.;cdc_ltsae_2_months;Gentle hand noticing;gold;If hands remain tightly closed most of the time and you are concerned, discuss it.
ms_004_social_001;4;3-5 months;social_emotional;Smiles to engage caregiver;Baby smiles to get or keep your attention.;cdc_ltsae_4_months|aap_zubler_2022;Smile-copy game;gold;If social smiles are absent and you are concerned, discuss it.
ms_004_social_002;4;3-5 months;social_emotional;Begins early laughing response;Baby may chuckle when you playfully engage.;cdc_ltsae_4_months;Gentle funny-face pause;gold;If baby rarely responds socially and you are concerned, discuss it.
ms_004_social_003;4;3-5 months;social_emotional;Seeks attention with face, body, or sounds;Baby looks, moves, or vocalizes to keep interaction going.;cdc_ltsae_4_months|harvard_serve_return_guide;Notice and respond;gold;If baby rarely seeks or responds to interaction, discuss it.
