id;age_range;domain;title;supports_milestone_ids;duration;materials;setup;steps;what_to_watch;why_it_works;evidence_bucket;evidence_label;source_ids;claim_limit;stop_rules;low_energy_option;adaptations;notes
act_002_social_001;0-3 months;social_emotional;Soft Voice Hold Pause;ms_002_social_001;1-3 minutes;none;Hold baby comfortably and support head and neck.;Speak softly, pause, watch baby's face and body, adjust your voice or hold.;Baby calms, looks, softens body, or changes breathing pattern.;Warm responsive caregiving supports safety and regulation during early routines.;silver;Mechanism-based;who_nurturing_care|harvard_serve_return_guide;Supports regulation and caregiver responsiveness, does not treat distress.;Stop if baby seems uncomfortable, hungry, hot, cold, or hard to soothe.;Try one soft phrase before feeding or sleep routine.;Use caregiver's natural language.;Needs pediatric review for wording.
act_002_social_002;0-3 months;social_emotional;Face-to-Face Pause;ms_002_social_002|ms_002_social_003;1-2 minutes;none;Place baby close enough to see your face during an awake calm moment.;Look at baby, smile gently, pause, respond to any look or movement.;Baby looks toward face, blinks, moves, or briefly smiles.;Face-focused interaction supports early social attention and caregiver responsiveness.;silver;Mechanism-based;harvard_serve_return_guide|who_nurturing_care;Supports social attention, does not measure bonding quality.;Stop if baby turns away, fusses, or seems overstimulated.;Do one smile and one pause.;Can be done during diapering.;Use for exhausted-parent path.
act_002_language_001;0-3 months;language_communication;Copy Baby's Coos;ms_002_language_001;1-3 minutes;none;Hold baby where they can hear and see you.;Wait for a sound, copy it softly, pause, respond again.;Baby makes sounds, pauses, looks, or moves.;Back-and-forth sound play supports early communication turn-taking.;silver;Mechanism-based;harvard_serve_return_guide|cdc_ltsae_2_months;Supports communication prerequisites, does not teach speech on its own.;Stop if baby cries, coughs, turns away, or seems tired.;Copy one sound once.;Use with any safe caregiving position.;Good free pack activity.
act_002_language_002;0-3 months;language_communication;Sound Noticing Routine;ms_002_language_002;1 minute;soft household sound;Use a gentle normal sound nearby, not loud or startling on purpose.;Make or notice a sound, say what it is, watch baby's response.;Baby startles, stills, blinks, changes movement, or turns later in development.;Naming everyday sounds supports auditory attention and caregiver observation.;silver;Mechanism-based;cdc_ltsae_2_months|who_nurturing_care;Supports observation, does not test hearing.;Do not create loud sounds near baby, discuss lack of response with provider.;Notice one natural sound during the day.;Avoid if baby is sleeping.;Needs hearing safety review.
act_002_cognitive_001;0-3 months;cognitive;Slow Face Tracking;ms_002_cognitive_001;1-2 minutes;none;Hold baby calm and awake on back or in arms.;Move your face slowly from center to one side and back.;Baby watches briefly or follows part of movement.;Slow visual social routines support attention and caregiver observation.;silver;Mechanism-based;cdc_ltsae_2_months|harvard_serve_return_guide;Supports observation, does not assess vision.;Stop if baby fusses or looks away repeatedly.;Move your face once and smile.;Use high-contrast toy if face is not engaging.;Keep brief.
act_002_movement_001;0-3 months;movement_physical;Mini Tummy Moment;ms_002_movement_001|ms_002_movement_002;30 seconds-2 minutes;blanket;Place baby awake and supervised on tummy on a firm safe surface.;Get low, talk softly, show your face or a toy, stop before baby is upset.;Baby lifts head briefly, turns head, moves arms or legs.;Brief supervised prone play supports early head and trunk control.;silver;Mechanism-based;cdc_ltsae_2_months|who_motor_milestones;Supports motor practice, does not force motor development.;Only awake and supervised, stop if distressed or sleepy, never use for sleep.;One short tummy moment after diapering.;Use chest-to-chest tummy time if floor is hard.;Needs movement expert review.
act_004_social_001;3-5 months;social_emotional;Smile-Copy Game;ms_004_social_001|ms_004_social_003;2-3 minutes;none;Sit with baby facing you during calm awake time.;Smile, wait, copy baby's expression or movement, pause.;Baby smiles, moves, vocalizes, or looks to continue.;Responsive imitation supports social attention and turn-taking.;silver;Mechanism-based;harvard_serve_return_guide|cdc_ltsae_4_months;Supports interaction, does not assess attachment.;Stop if baby looks away, arches, cries, or seems overstimulated.;One smile and pause.;Can be done with another caregiver.;Useful for social segment.
act_004_language_001;3-5 months;language_communication;Coo Conversation;ms_004_language_001|ms_004_language_002;2-4 minutes;none;Hold baby where your face is visible.;Make a soft vowel sound, wait, copy baby's sound, pause again.;Baby coos, moves mouth, smiles, or listens.;Sound exchange supports early vocal turn-taking and communication attention.;silver;Mechanism-based;harvard_serve_return_guide|cdc_ltsae_4_months;Supports vocal practice, does not guarantee speech outcomes.;Stop if baby is tired, hungry, or upset.;Make one coo during dressing.;Use baby's natural sounds.;Good for starter pack.
act_004_language_002;3-5 months;language_communication;Voice From Side;ms_004_language_003;1-2 minutes;none;When baby is awake, speak gently from one side at a normal volume.;Say baby's name or a short phrase, wait, move to other side later.;Baby stills, looks, turns head, or changes expression.;Everyday voice routines support auditory attention and caregiver observation.;silver;Mechanism-based;cdc_ltsae_4_months|harvard_serve_return_guide;Supports observation, does not replace hearing screening.;Do not use loud sounds, discuss lack of sound response with provider.;Say one phrase from the side.;Use caregiver's familiar voice.;Needs language expert review.
act_004_cognitive_001;3-5 months;cognitive;Hand Watching Game;ms_004_cognitive_002|ms_004_movement_002;2-3 minutes;none;Place baby on back or supported in arms.;Bring baby's hands into view gently, name them, pause for looking.;Baby looks at hands, opens fingers, brings hands toward mouth.;Hand watching supports body awareness and early exploration.;silver;Mechanism-based;cdc_ltsae_4_months|who_nurturing_care;Supports awareness, does not assess fine motor ability.;Do not force hands open, stop if baby resists.;Name hands once during diapering.;Use a soft wrist rattle only if safe and supervised.;Avoid over-stimulation.
