map_id;focus_or_concern;author;work;idea_taken;maps_to_mechanism;maps_to_guideline;evidence_level;resulting_activity_ids;framing_check;status
amap_001;movement_physical;Emmi Pikler;Pikler/Lóczy free movement;Unhurried self-initiated movement in a safe space, no forced positions;sensory-motor exploration;WHO motor milestones;bronze;act_006_movement_001|act_006_movement_002|act_004_movement_001;OK - inspired-by, no guarantee, no behind language;draft
amap_002;language_communication;Hirsh-Pasek and Golinkoff;How Babies Talk|Einstein Never Used Flash Cards;Notice a sound gaze movement or gesture, respond warmly, pause, and follow the baby's focus without testing;serve-and-return / playful learning;CDC language milestones|Harvard serve-and-return;silver_aligned;act_002_language_001|act_004_language_001|act_006_language_001|act_006_language_003|act_009_language_001|act_009_language_002|act_012_language_001|act_012_language_002|act_012_language_003;OK - conversational form only, no testing, deliberate frustration, eye-contact demand, word-count, acceleration, hearing/language conclusion, or guarantee;draft
amap_003;social_emotional;Alicia F. Lieberman;The Emotional Life of the Toddler;Attuned responses to a childs signals build emotional security;responsive caregiving / co-regulation;WHO nurturing care;silver_aligned;act_002_social_001|act_006_social_001|act_006_cognitive_002;OK - supports not therapy;draft
amap_004;safety_concerns;Frances Page Glascoe;PEDS surveillance;Parent concerns are meaningful and guide when to seek follow-up;boundary;AAP surveillance;gold_aligned;;OK - boundary only;draft
amap_005;language_communication;Harvard Center on the Developing Child;A Guide to Serve & Return / 5 Steps for Brain-Building Serve and Return;Notice and respond to child signals with warm back-and-forth turns;serve-and-return / responsive caregiving;WHO nurturing care|CDC language milestones;silver_aligned;act_002_language_001|act_004_language_001|act_006_language_001|act_009_language_001|act_012_language_002;OK - supports interaction practice, no guarantee, no pressure;draft
amap_006;play_learning;Harvard Center on the Developing Child;Brain-Building Through Play;Short age-matched play supports attention turn-taking memory and self-control practice;playful learning / executive function practice;WHO nurturing care|CDC developmental monitoring;silver_aligned;act_004_social_001|act_006_cognitive_002|act_009_social_001|act_009_cognitive_001|act_012_social_001|act_012_cognitive_002;OK - activity form only, no acceleration claim, no scoring;draft
amap_007;early_brain_development_daily_interaction;Jill Stamm;Bright from the Start;Simple everyday attention warm response and communication as a low-pressure interaction wrapper;serve-and-return / responsive caregiving / early learning;WHO nurturing care;secondary_synthesis;act_002_language_001|act_004_language_002|act_006_language_001|act_009_social_002|act_012_language_002;OK - primary mechanism comes from Harvard/WHO, no brain-wiring, IQ, attention-span, attachment, or acceleration claim;draft
amap_008;prepared_environment_everyday_exploration;Maria Montessori;The Secret of Childhood;Simple safe accessible setup with minimal adult demonstration and room for the child response;sensory-motor exploration / child-led playful learning;WHO nurturing care;bronze;act_004_cognitive_001|act_006_cognitive_001|act_009_cognitive_001|act_012_cognitive_001;OK - inspiration form only, no intelligence, concentration, independence, sensitive-period deadline, superiority, or acceleration claim;draft
amap_009;ordinary_sensory_relational_experience;Lise Eliot;What's Going On in There?;Wide-range resilience plus ordinary sensory and relational experience without enrichment pressure;responsive caregiving / sensory-motor exploration / early learning;WHO nurturing care;secondary_synthesis;act_002_social_002|act_002_cognitive_001|act_004_cognitive_001|act_006_cognitive_001;OK - broad explanatory bridge only, no precise neurotimelines, animal-to-child transfer, permanence, critical-window, IQ, sex-difference, or stimulation claim;draft
amap_010;caregiver_stress_parent_anxiety;John Medina;Brain Rules for Baby;No one-size-fits-all parenting plus good-enough responsive care and support for the caregiver;caregiver well-being / responsive caregiving / supportive relationships;WHO nurturing care;secondary_synthesis;;OK - tone and help-seeking only, no single proven style, IQ, genetics, academic prediction, brain optimization, family-structure, causation, or blame claim;draft
