work_id;author_ids;authors;title;work_type;priority_for_project;project_use;use_as;caution;status;source_url;notes
work_harvard_001;harvard_cdc;Harvard Center on the Developing Child;A Guide to Serve & Return;resource guide;core;Responsive interaction mechanism for language social-emotional and cognitive activities;mechanism_support;none;verified;https://developingchild.harvard.edu/resource-guides/guide-serve-and-return/;Use as Silver mechanism source for parent-friendly interaction cards
work_harvard_002;harvard_cdc;Harvard Center on the Developing Child;How-to: 5 Steps for Brain-Building Serve and Return;practice guide/video;core;Concrete parent-facing steps for notice respond name take turns and endings;mechanism_support;none;verified;https://developingchild.harvard.edu/resources/how-to-5-steps-for-brain-building-serve-and-return/;Useful for short scripts and activity steps
work_harvard_003;harvard_cdc;Harvard Center on the Developing Child / LEGO Foundation;Brain-Building Through Play: Activities for Infants, Toddlers, and Children;handout/tool;core;Age-based play forms for infants toddlers and children;mechanism_support;none;verified;https://developingchild.harvard.edu/resources/handouts-tools/brainbuildingthroughplay/;Use for activity forms, not milestone proof
work_harvard_004;harvard_cdc;Harvard Center on the Developing Child;A Guide to Executive Function;resource guide;supporting;Executive function and self-regulation mechanism for toddler+ and future products;mechanism_support;none;verified;https://developingchild.harvard.edu/key_concepts/executive_function/;Good for attention working memory flexibility and self-control framing
work_harvard_005;harvard_cdc;Harvard Center on the Developing Child;Activities Guide: Enhancing and Practicing Executive Function Skills with Children from Infancy to Adolescence;handout/tool;supporting;Age-based activities for executive function practice;mechanism_support;none;verified;https://developingchild.harvard.edu/resources/handouts-tools/activities-guide-enhancing-and-practicing-executive-function-skills/;Use for future routine behavior and self-regulation cards
work_harvard_006;harvard_cdc;Harvard Center on the Developing Child;Play in Early Childhood: The Role of Play in Any Setting;video/research translation;supporting;Play rationale for relationships core skills and stress buffering;mechanism_support;none;verified;https://developingchild.harvard.edu/resources/videos/play-in-early-childhood-the-role-of-play-in-any-setting/;Use for play-based recommendation rationale
work_glascoe_001;glascoe;Frances Page Glascoe;Parents' Concerns About Children's Development: Prescreening Technique or Screening Test?;article;core;Parent concern logic and screening-adjacent boundary language;boundary;none;verified;https://publications.aap.org/pediatrics/article/99/4/522/75265/Parents-Concerns-About-Children-s-Development;Use for concern elicitation and when-to-discuss framing
work_glascoe_002;glascoe;Frances Page Glascoe;The Value of Parents' Evaluations of Developmental Status in Detecting and Addressing Children's Developmental and Behavioral Problems;article;core;PEDS rationale and parent concern validity;boundary;none;verified;https://journals.sagepub.com/doi/10.1177/073724779802300401;Use as clinical/research support, not parent-facing diagnosis
work_glascoe_003;glascoe;Frances Page Glascoe;PEDS: Developmental Milestones - An Accurate Brief Tool for Surveillance and Screening;article/tool manual support;core;Developmental milestone surveillance and screening context;boundary;none;verified;https://journals.sagepub.com/doi/10.1177/0009922807309419;Useful for professional summary logic
work_glascoe_004;glascoe|marks|poon|macias;Frances Page Glascoe, Kevin P. Marks, Jennifer K. Poon, Michelle M. Macias;Identifying and Addressing Developmental-Behavioral Problems: A Practical Guide for Medical and Non-medical Professionals, Trainees, Researchers and Advocates;book;core;Developmental-behavioral framework and professional-facing care process;boundary;none;verified;https://pedstest.com/thebook/;Shared clinical-practical source for monitoring authors
work_marks_001;marks|glascoe|macias;Kevin P. Marks, Frances Page Glascoe, Michelle M. Macias;Enhancing the Algorithm for Developmental-Behavioral Surveillance and Screening in Children 0 to 5 Years;article;core;Surveillance/screening workflow and follow-up logic;boundary;none;verified;https://journals.sagepub.com/doi/10.1177/0009922811406263;Use for workflow architecture, not direct parent advice
work_macias_001;macias;Michelle M. Macias;Promoting Optimal Development: Identifying Infants and Young Children With Developmental Disorders Through Developmental Surveillance and Screening;AAP clinical report;core;AAP surveillance, screening, referral and monitoring boundaries;boundary;none;verified;https://publications.aap.org/pediatrics/article/145/1/e20193449/36971/Promoting-Optimal-Development-Identifying-Infants;High-value safety boundary source
work_macias_002;macias;Michelle M. Macias;Evidence-Informed Milestones for Developmental Surveillance Tools;article;core;CDC milestone revision rationale and 75 percent milestone criterion;boundary;none;verified;https://stacks.cdc.gov/view/cdc/122643/cdc_122643_DS1.pdf;Use with CDC milestone data and age-framing rules
work_medina_001;medina;John Medina;Brain Rules for Baby: How to Raise a Smart and Happy Child from Zero to Five;book;core;Parent-friendly brain, sleep, stress, attention and play explanations;mechanism_support;moderate;verified;https://brainrules.net/book/brain-rules-for-baby/;Use only after mapping claims to guideline/mechanism
