problem;guideline_base;primary_authors;secondary_inspiration;scope
Milestones and age expectations;CDC|AAP|WHO;glascoe;bright_futures|who_europe;0-12mo and beyond
Speech and language concerns;CDC|AAP;hirsh-pasek|golinkoff|luria|siegel|harvard_cdc;montessori;0-12mo and beyond
Emotional regulation and tantrums;AAP|CDC;siegel|bryson|lieberman|neufeld|harvard_cdc;sears;toddler+ (beyond current MVP)
Aggression biting hitting;AAP|CDC;lieberman|siegel|neufeld;hirsh-pasek;toddler+ (beyond current MVP)
Screens attention and replacement activities;AAP media guidance;medina|hirsh-pasek|montessori;stamm;1yr+ (beyond current MVP)
Sleep and exhausted parent;AAP safe sleep;siegel|sears|montessori;medina;0-12mo and beyond
Motor movement and coordination;CDC|WHO motor;sasse|montessori|luria|bernstein;pikler;0-12mo and beyond
Early brain development and daily interaction;CDC|WHO nurturing care;medina|stamm|eliot|harvard_cdc;montessori;0-12mo and beyond
Early literacy and pre-academic play;CDC|WHO nurturing care;hirsh-pasek|golinkoff|montessori|harvard_cdc;doman|suzuki|ibuka|shichida;0-12mo and beyond
Independent play and prepared environment;CDC|WHO nurturing care;montessori|hirsh-pasek|golinkoff|harvard_cdc;siegel|neufeld;0-12mo and beyond
Adaptation separation and daycare;AAP|CDC;neufeld|lieberman|siegel;montessori;toddler+ (beyond current MVP)
Parent anxiety and fear of missing;CDC|AAP;stamm|medina|montessori;siegel;0-12mo and beyond
Parent concerns and professional summary;AAP|CDC;glascoe;bright_futures;0-12mo and beyond
